name,time,Power
slave1_ctn_04,1493164820000000000,1
slave1_ctn_04,1493164863000000000,3
slave1_ctn_04,1493164905000000000,1
slave1_ctn_04,1493164947000000000,1
slave1_ctn_04,1493164990000000000,3
slave1_ctn_04,1493165031000000000,1
slave1_ctn_04,1493165074000000000,1
slave1_ctn_04,1493165116000000000,1
slave1_ctn_04,1493165158000000000,1
slave1_ctn_04,1493165201000000000,3
slave1_ctn_04,1493165242000000000,3
slave1_ctn_04,1493165285000000000,3
slave1_ctn_04,1493165327000000000,1
slave1_ctn_04,1493165369000000000,1
slave1_ctn_04,1493165412000000000,3
slave1_ctn_04,1493165454000000000,1
slave1_ctn_04,1493165496000000000,1
slave1_ctn_04,1493165538000000000,1
slave1_ctn_04,1493165580000000000,3
slave1_ctn_04,1493165622000000000,3
slave1_ctn_04,1493165665000000000,3
slave1_ctn_04,1493165707000000000,1
slave1_ctn_04,1493165749000000000,1
slave1_ctn_04,1493165791000000000,1
slave1_ctn_04,1493165833000000000,1
slave1_ctn_04,1493165876000000000,3
slave1_ctn_04,1493165918000000000,1
slave1_ctn_04,1493165960000000000,1
slave1_ctn_04,1493166003000000000,1
slave1_ctn_04,1493166044000000000,1
slave1_ctn_04,1493166087000000000,3
slave1_ctn_04,1493166128000000000,3
slave1_ctn_04,1493166171000000000,3
slave1_ctn_04,1493166214000000000,1
slave1_ctn_04,1493166255000000000,1
slave1_ctn_04,1493166298000000000,1
slave1_ctn_04,1493166340000000000,1
slave1_ctn_04,1493166382000000000,3
slave1_ctn_04,1493166425000000000,1
slave1_ctn_04,1493166466000000000,1
slave1_ctn_04,1493166509000000000,1
slave1_ctn_04,1493166551000000000,1
slave1_ctn_04,1493166593000000000,1
slave1_ctn_04,1493166635000000000,1
slave1_ctn_04,1493166677000000000,1
slave1_ctn_04,1493166720000000000,1
slave1_ctn_04,1493166762000000000,3
slave1_ctn_04,1493166804000000000,3
slave1_ctn_04,1493166846000000000,1
slave1_ctn_04,1493166889000000000,1
slave1_ctn_04,1493166931000000000,1
slave1_ctn_04,1493166973000000000,1
slave1_ctn_04,1493167015000000000,1
slave1_ctn_04,1493167057000000000,1
slave1_ctn_04,1493167100000000000,3
slave1_ctn_04,1493167141000000000,1
slave1_ctn_04,1493167184000000000,3
slave1_ctn_04,1493167227000000000,3
slave1_ctn_04,1493167268000000000,1
slave1_ctn_04,1493167311000000000,1
slave1_ctn_04,1493167352000000000,1
slave1_ctn_04,1493167395000000000,1
slave1_ctn_04,1493167438000000000,3
slave1_ctn_04,1493167479000000000,1
slave1_ctn_04,1493167522000000000,1
slave1_ctn_04,1493167564000000000,1
slave1_ctn_04,1493167606000000000,1
slave1_ctn_04,1493167648000000000,3
slave1_ctn_04,1493167690000000000,1
slave1_ctn_04,1493167733000000000,1
slave1_ctn_04,1493167775000000000,1
slave1_ctn_04,1493167817000000000,3
slave1_ctn_04,1493167859000000000,3
slave1_ctn_04,1493167901000000000,1
slave1_ctn_04,1493167944000000000,1
slave1_ctn_04,1493167986000000000,1
slave1_ctn_04,1493168028000000000,3
slave1_ctn_04,1493168070000000000,1
slave1_ctn_04,1493168113000000000,1
slave1_ctn_04,1493168154000000000,1
slave1_ctn_04,1493168197000000000,3
slave1_ctn_04,1493168239000000000,1
slave1_ctn_04,1493168281000000000,1
slave1_ctn_04,1493168324000000000,3
slave1_ctn_04,1493168365000000000,1
slave1_ctn_04,1493168408000000000,3
slave1_ctn_04,1493168451000000000,1
slave1_ctn_04,1493168492000000000,1
slave1_ctn_04,1493168535000000000,3
slave1_ctn_04,1493168576000000000,1
slave1_ctn_04,1493168619000000000,1
slave1_ctn_04,1493168661000000000,3
slave1_ctn_04,1493168703000000000,1
slave1_ctn_04,1493168746000000000,3
slave1_ctn_04,1493168788000000000,3
slave1_ctn_04,1493168830000000000,1
slave1_ctn_04,1493168872000000000,3
slave1_ctn_04,1493168914000000000,1
slave1_ctn_04,1493168956000000000,1
slave1_ctn_04,1493168999000000000,3
slave1_ctn_04,1493169041000000000,1
slave1_ctn_04,1493169083000000000,1
slave1_ctn_04,1493169125000000000,1
slave1_ctn_04,1493169167000000000,1
slave1_ctn_04,1493169210000000000,1
slave1_ctn_04,1493169252000000000,1
slave1_ctn_04,1493169294000000000,1
slave1_ctn_04,1493169337000000000,1
slave1_ctn_04,1493169378000000000,1
slave1_ctn_04,1493169421000000000,1
slave1_ctn_04,1493169462000000000,1
slave1_ctn_04,1493169505000000000,1
slave1_ctn_04,1493169548000000000,1
slave1_ctn_04,1493169589000000000,1
slave1_ctn_04,1493169632000000000,1
slave1_ctn_04,1493169674000000000,1
slave1_ctn_04,1493169716000000000,1
slave1_ctn_04,1493169759000000000,1
slave1_ctn_04,1493169800000000000,1
slave1_ctn_04,1493169843000000000,1
slave1_ctn_04,1493169885000000000,3
slave1_ctn_04,1493169927000000000,3
slave1_ctn_04,1493169969000000000,3
slave1_ctn_04,1493170012000000000,1
slave1_ctn_04,1493170054000000000,1
slave1_ctn_04,1493170096000000000,1
slave1_ctn_04,1493170138000000000,1
slave1_ctn_04,1493170180000000000,1
slave1_ctn_04,1493170223000000000,3
slave1_ctn_04,1493170265000000000,1
slave1_ctn_04,1493170307000000000,1
slave1_ctn_04,1493170349000000000,1
slave1_ctn_04,1493170391000000000,3
slave1_ctn_04,1493170434000000000,1
slave1_ctn_04,1493170475000000000,1
slave1_ctn_04,1493170518000000000,1
slave1_ctn_04,1493170561000000000,1
slave1_ctn_04,1493170602000000000,1
slave1_ctn_04,1493170645000000000,3
slave1_ctn_04,1493170686000000000,3
slave1_ctn_04,1493170729000000000,3
slave1_ctn_04,1493170772000000000,1
slave1_ctn_04,1493170813000000000,3
slave1_ctn_04,1493170856000000000,3
slave1_ctn_04,1493170898000000000,1
slave1_ctn_04,1493170940000000000,3
slave1_ctn_04,1493170982000000000,1
slave1_ctn_04,1493171024000000000,1
slave1_ctn_04,1493171067000000000,1
slave1_ctn_04,1493171109000000000,1
slave1_ctn_04,1493171151000000000,1
slave1_ctn_04,1493171193000000000,1
slave1_ctn_04,1493171235000000000,1
slave1_ctn_04,1493171278000000000,3
slave1_ctn_04,1493171320000000000,3
slave1_ctn_04,1493171362000000000,1
slave1_ctn_04,1493171404000000000,1
slave1_ctn_04,1493171447000000000,1
slave1_ctn_04,1493171488000000000,3
slave1_ctn_04,1493171531000000000,3
slave1_ctn_04,1493171573000000000,1
slave1_ctn_04,1493171615000000000,1
slave1_ctn_04,1493171658000000000,1
slave1_ctn_04,1493171699000000000,1
slave1_ctn_04,1493171742000000000,1
slave1_ctn_04,1493171785000000000,1
slave1_ctn_04,1493171826000000000,1
slave1_ctn_04,1493171869000000000,1
slave1_ctn_04,1493171910000000000,1
slave1_ctn_04,1493171953000000000,3
slave1_ctn_04,1493171995000000000,3
slave1_ctn_04,1493172037000000000,1
slave1_ctn_04,1493172080000000000,1
slave1_ctn_04,1493172122000000000,1
slave1_ctn_04,1493172164000000000,3
slave1_ctn_04,1493172206000000000,3
slave1_ctn_04,1493172248000000000,3
slave1_ctn_04,1493172291000000000,3
slave1_ctn_04,1493172333000000000,1
slave1_ctn_04,1493172375000000000,3
slave1_ctn_04,1493172417000000000,1
slave1_ctn_04,1493172459000000000,3
slave1_ctn_04,1493172501000000000,1
slave1_ctn_04,1493172544000000000,1
slave1_ctn_04,1493172586000000000,1
